SampleName,TotalBreaks,NormalisedBreaks,TotalIntersect,TotalNormalisedAsiSIbreaks,PercentageAsiSIBreaks
Sample15,4858,4.858,15,3.09,0.31
Sample8,4576,4.576,0,0,0.0
Sample6,6465,6.465,0,0,0.0
Sample2,10360,10.36,0,0,0.0
Sample13,1628,1.628,2,1.23,0.12
Sample9,1825,1.825,5,2.74,0.27
Sample7,5857,5.857,0,0,0.0
Sample14,3563,3.563,7,1.96,0.2
Sample4,6989,6.989,0,0,0.0
Sample10,2960,2.96,10,3.38,0.34
Sample5,5696,5.696,0,0,0.0
Sample11,2075,2.075,10,4.82,0.48
Sample12,2282,2.282,5,2.19,0.22
Sample1,7773,7.773,0,0,0.0
Sample16,5346,5.346,18,3.37,0.34
Sample3,3733,3.733,1,0,0.03
